File Name,LineStrings
4436.json,"[[[181.0, 175.0], [181.0, 127.0]], [[98.5, 125.5], [98.5, 174.0]]]"
2448.json,[]
4965.json,"[[[161.0, 186.0], [161.0, 135.0]]]"
2018.json,"[[[154.0, 114.0], [154.0, 58.0]], [[121.0, 58.0], [121.0, 118.0]], [[136.0, 140.5], [136.0, 195.0]]]"
4820.json,"[[[122.0, 128.5], [122.0, 193.0]]]"
314.json,"[[[187.0, 126.0], [132.5, 126.0]]]"
4123.json,"[[[138.0, 117.0], [181.0, 117.0]]]"
1321.json,"[[[195.0, 96.0], [145.0, 96.0]], [[139.0, 159.0], [195.0, 159.0]]]"
744.json,"[[[217.0, 117.0], [137.5, 117.0]], [[73.0, 172.0], [127.0, 172.0]], [[91.5, 89.0], [91.5, 137.0]]]"
4573.json,"[[[110.5, 98.0], [110.5, 142.0]], [[141.0, 142.0], [141.0, 187.0]], [[195.0, 193.0], [195.0, 126.0]]]"
1771.json,"[[[135.0, 127.5], [135.0, 191.0]]]"
4089.json,"[[[155.0, 66.0], [103.0, 66.0]], [[103.0, 113.0], [103.0, 162.0]], [[167.0, 162.0], [167.0, 111.0]]]"
894.json,"[[[89.0, 120.0], [39.0, 120.0]], [[90.0, 178.0], [137.0, 178.0]]]"
2274.json,"[[[130.0, 192.0], [130.0, 132.5]]]"
2624.json,"[[[70.0, 120.0], [116.0, 120.0]], [[140.0, 120.0], [193.0, 120.0]], [[206.0, 96.5], [129.0, 96.5]]]"
3936.json,"[[[111.0, 51.0], [111.0, 102.0]], [[170.0, 133.0], [170.0, 90.0]]]"
197.json,"[[[157.0, 72.0], [70.0, 72.0]], [[148.0, 140.0], [205.0, 140.0]]]"
3465.json,"[[[125.0, 43.0], [125.0, 95.5]], [[125.0, 137.5], [125.0, 216.0]]]"
1458.json,"[[[108.5, 178.0], [108.5, 129.0]]]"
3035.json,[]
1008.json,"[[[118.0, 123.5], [118.0, 77.0]]]"
3520.json,"[[[171.0, 115.5], [109.0, 115.5]], [[136.5, 210.0], [136.5, 144.5]]]"
528.json,[]
482.json,"[[[94.0, 179.0], [148.0, 179.0]], [[151.0, 122.0], [94.0, 122.0]]]"
3170.json,[]
178.json,"[[[116.0, 98.0], [50.0, 98.0]], [[68.0, 164.0], [131.0, 164.0]]]"
20.json,[]
2331.json,"[[[124.0, 117.0], [124.0, 181.0]]]"
2761.json,"[[[99.0, 79.0], [99.0, 124.0]], [[131.5, 181.0], [131.5, 134.0]]]"
3873.json,"[[[129.0, 140.5], [179.0, 140.5]], [[164.0, 113.0], [110.0, 113.0]], [[129.0, 210.0], [129.0, 158.0]]]"
4898.json,"[[[155.0, 111.5], [95.0, 111.5]], [[115.0, 192.5], [170.0, 192.5]]]"
4932.json,"[[[94.0, 205.5], [146.0, 205.5]], [[146.0, 205.0], [146.0, 140.0]]]"
656.json,"[[[147.0, 131.0], [147.0, 52.0]], [[91.0, 52.0], [91.0, 96.0]]]"
4461.json,"[[[146.0, 117.0], [99.0, 117.0]], [[146.0, 141.0], [146.0, 184.0]]]"
1399.json,"[[[124.0, 200.0], [124.0, 150.0]]]"
1663.json,"[[[130.5, 140.5], [130.5, 207.0]]]"
206.json,"[[[125.0, 59.0], [78.0, 59.0]]]"
4031.json,"[[[151.0, 67.0], [108.0, 67.0]], [[122.0, 190.0], [122.0, 106.0]], [[64.0, 85.0], [64.0, 136.0]]]"
1233.json,"[[[151.0, 101.0], [151.0, 54.0]]]"
2809.json,"[[[118.0, 123.5], [118.0, 171.0]]]"
1726.json,"[[[52.0, 69.0], [52.0, 115.0]], [[52.0, 139.0], [52.0, 186.0]], [[113.0, 186.0], [113.0, 134.0]], [[117.5, 111.0], [117.5, 42.0]]]"
713.json,"[[[128.0, 145.0], [184.0, 145.0]], [[110.5, 76.0], [110.5, 145.0]]]"
4524.json,[]
1376.json,"[[[128.0, 107.0], [128.0, 151.0]]]"
343.json,[]
4174.json,"[[[149.0, 52.0], [100.0, 52.0]], [[134.0, 169.0], [134.0, 108.0]]]"
4877.json,[]
590.json,"[[[149.5, 96.5], [87.0, 96.5]], [[149.5, 172.0], [149.5, 96.5]]]"
3062.json,"[[[98.0, 151.0], [175.0, 151.0]]]"
3598.json,"[[[123.0, 117.5], [123.0, 178.0]], [[160.0, 115.0], [160.0, 71.0]]]"
3432.json,"[[[106.0, 145.0], [106.0, 201.0]]]"
2673.json,[]
3961.json,"[[[119.0, 146.0], [119.0, 206.0]]]"
98.json,"[[[90.0, 118.0], [90.0, 186.0]], [[145.0, 186.0], [145.0, 128.0]]]"
2389.json,"[[[149.0, 223.0], [149.0, 161.0]]]"
969.json,"[[[135.0, 169.5], [187.0, 169.5]], [[135.0, 109.0], [135.0, 169.5]], [[187.0, 145.0], [187.0, 90.0]]]"
2223.json,[]
2736.json,"[[[163.0, 130.0], [208.0, 130.0]], [[95.0, 130.0], [95.0, 176.0]]]"
3824.json,"[[[140.0, 149.0], [140.0, 200.0]]]"
1819.json,"[[[63.0, 68.0], [63.0, 113.0]], [[63.0, 137.0], [63.0, 182.0]], [[116.0, 182.0], [116.0, 126.0]]]"
986.json,"[[[85.0, 229.0], [144.0, 229.0]], [[85.0, 107.0], [85.0, 156.0]], [[85.0, 180.0], [85.0, 229.0]]]"
77.json,"[[[46.0, 67.0], [46.0, 122.0]], [[46.0, 146.0], [46.0, 201.0]], [[107.0, 120.0], [107.0, 67.0]]]"
2366.json,"[[[119.0, 191.0], [164.0, 191.0]], [[123.0, 75.0], [123.0, 139.0]]]"
4318.json,"[[[75.0, 142.0], [125.5, 142.0]], [[125.5, 77.0], [75.0, 77.0]]]"
3127.json,"[[[129.0, 213.0], [129.0, 152.0]], [[74.0, 96.0], [74.0, 156.0]]]"
4748.json,"[[[175.5, 118.0], [132.5, 118.0]]]"
3577.json,"[[[136.0, 175.0], [184.0, 175.0]]]"
3218.json,"[[[128.0, 122.0], [128.0, 179.0]]]"
1225.json,"[[[120.0, 35.0], [120.0, 96.0]]]"
4027.json,"[[[108.5, 130.0], [108.5, 194.0]]]"
210.json,[]
3648.json,"[[[133.0, 73.0], [133.0, 137.0]]]"
1675.json,"[[[186.0, 157.0], [186.0, 108.0]]]"
4477.json,[]
640.json,"[[[185.0, 80.0], [134.0, 80.0]], [[144.0, 137.0], [225.0, 137.0]]]"
2409.json,"[[[185.0, 127.0], [185.0, 79.0]], [[158.0, 61.0], [158.0, 108.0]]]"
4924.json,"[[[133.0, 174.0], [133.0, 118.0]], [[80.0, 78.0], [80.0, 127.0]]]"
2059.json,"[[[132.0, 114.0], [86.0, 114.0]]]"
4861.json,"[[[113.0, 176.0], [113.0, 128.0]]]"
4162.json,"[[[176.0, 210.0], [176.0, 157.0]], [[176.0, 145.0], [176.0, 86.0]], [[105.0, 68.0], [105.0, 124.0]]]"
355.json,"[[[198.0, 180.0], [198.0, 128.0]], [[198.0, 104.0], [198.0, 52.0]]]"
1360.json,[]
4498.json,"[[[123.0, 146.5], [123.0, 210.0]]]"
4532.json,[]
705.json,"[[[155.0, 56.0], [105.0, 56.0]]]"
1730.json,"[[[80.0, 171.0], [128.0, 171.0]], [[177.0, 171.0], [177.0, 111.0]]]"
2235.json,"[[[86.0, 187.5], [143.0, 187.5]], [[143.0, 187.0], [143.0, 116.5]]]"
3977.json,"[[[123.0, 23.0], [123.0, 66.5]]]"
2665.json,[]
1419.json,[]
3424.json,"[[[131.0, 222.0], [131.0, 139.5]]]"
1049.json,"[[[88.0, 129.0], [135.0, 129.0]], [[187.0, 85.0], [135.0, 85.0]], [[187.0, 129.0], [187.0, 85.0]]]"
3074.json,"[[[181.0, 117.5], [123.0, 117.5]]]"
586.json,[]
3561.json,"[[[182.0, 123.0], [130.5, 123.0]], [[130.5, 123.0], [130.5, 200.0]]]"
569.json,"[[[83.0, 124.0], [130.0, 124.0]]]"
3131.json,"[[[143.0, 115.0], [200.0, 115.0]]]"
